State name,District name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households,Rural_Households,Urban_Households,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Households_with_Internet,Households_with_Computer,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Car_Jeep_Van,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Male_percentage,Female_percentage,Sex_ratio,Male_literacy_percent,Female_literacy_percent
HARYANA,BHIWANI,81,1634445,866672,767773,1069871,643158,426713,456282,357047,99235,266244,88938,5292,25236,176336,242718,16793,1611031,15515,873,2401,254,1016,26,53.0,47.0,89.0,60.0,40.0
HARYANA,ROHTAK,82,1061204,568479,492725,747582,436025,311557,306942,175203,131739,193120,94633,8482,27225,150160,160621,16545,1043887,8185,732,3916,200,3491,24,54.0,46.0,87.0,58.0,42.0
HARYANA,JHAJJAR,83,958405,514667,443738,676091,399480,276611,290144,211816,78328,168558,70149,5034,19241,128007,145032,14298,945693,8247,734,1042,105,645,22,54.0,46.0,86.0,59.0,41.0
HARYANA,MAHENDRAGARH,84,922088,486665,435423,630255,380440,249815,267942,223726,44216,135455,45359,2624,13908,88012,133653,8538,913251,5660,301,1737,75,644,15,53.0,47.0,89.0,60.0,40.0
HARYANA,REWARI,85,900332,474335,425997,636947,375453,261494,268754,199449,69305,152651,62667,5121,18092,108753,137152,12161,889133,5713,701,1804,202,1525,12,53.0,47.0,90.0,59.0,41.0
HARYANA,GURUGRAM,86,1514432,816690,697742,1111116,638666,472450,523691,141703,381988,305751,238359,67087,102343,248024,274931,92934,1408801,70842,9725,15097,944,7451,254,54.0,46.0,85.0,57.0,43.0
HARYANA,NUH,87,1089263,571162,518101,454897,308435,146462,223635,187398,36237,96309,15593,935,10499,27367,111968,6220,221846,862647,1235,592,516,1453,4,52.0,48.0,91.0,68.0,32.0
HARYANA,FARIDABAD,88,1809733,966110,843623,1272739,734940,537799,470681,87700,382981,333171,258422,43437,82673,279652,302937,63470,1588407,161680,9743,34572,640,4883,249,53.0,47.0,87.0,58.0,42.0
HARYANA,PALWAL,89,1042708,554497,488211,599796,379696,220100,249159,186069,63090,132606,46498,4283,16736,93313,121222,10185,826342,208566,932,3971,345,915,20,53.0,47.0,88.0,63.0,37.0
NCT OF DELHI,NORTH SIKKIM,90,3656539,1960922,1695617,2707855,1541952,1165903,1026867,67592,959275,720900,625662,114044,188876,631015,636303,152362,3211042,291330,14100,92129,2281,43460,345,54.0,46.0,86.0,57.0,43.0
